YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2022,2022,RI,Rhode Island,BRFSS,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,,%,Age-adjusted Prevalence,53,53,,,45.7,60.1,Sex,Male,,,,,POINT (-71.52247031399963 41.70828019300046),44,IMM,IMM02,,AGEADJPREV,SEX,SEXM,,,,
2022,2022,RI,Rhode Island,BRFSS,Oral Health,Visited dentist or dental clinic in the past year among adults,,%,Age-adjusted Prevalence,62,62,,,53.7,69.6,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),44,ORH,ORH06,,AGEADJPREV,RACE,BLK,,,,
2022,2022,RI,Rhode Island,BRFSS,Social Determinants of Health,Lack of reliable transportation in the past 12 months among adults,,%,Crude Prevalence,4.8,4.8,,,3.8,6,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),44,SDOH,SDH06,,CRDPREV,RACE,WHT,,,,
2022,2022,RI,Rhode Island,BRFSS,Sleep,Short sleep duration among adults,,%,Age-adjusted Prevalence,51.2,51.2,,,37.4,64.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),44,SLEP,SLP03,,AGEADJPREV,RACE,MRC,,,,
2022,2022,SC,South Carolina,BRFSS,Mental Health,Frequent mental distress among adults,,%,Crude Prevalence,14.8,14.8,,,13.6,16.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-81.04537120699968 33.998821303000454),45,MEN,MEN05,,CRDPREV,RACE,WHT,,,,
2022,2022,SC,South Carolina,BRFSS,Oral Health,No teeth lost among adults aged 18-64 years,,%,Age-adjusted Prevalence,58.5,58.5,,,52.4,64.4,Race/Ethnicity,Hispanic,,,,,POINT (-81.04537120699968 33.998821303000454),45,ORH,ORH01,,AGEADJPREV,RACE,HIS,,,,
2022,2022,SC,South Carolina,BRFSS,Oral Health,Six or more teeth lost among adults aged 65 years and older,,%,Crude Prevalence,37,37,,,34,40,Sex,Male,,,,,POINT (-81.04537120699968 33.998821303000454),45,ORH,ORH02,,CRDPREV,SEX,SEXM,,,,
2022,2022,SC,South Carolina,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,13.6,13.6,,,12.2,15.1,Sex,Female,,,,,POINT (-81.04537120699968 33.998821303000454),45,TOB,TOB04,,CRDPREV,SEX,SEXF,,,,
2022,2022,SD,South Dakota,BRFSS,Mental Health,Frequent mental distress among adults,,%,Crude Prevalence,14.9,14.9,,,11.7,18.8,Sex,Female,,,,,POINT (-100.3735306369997 44.353130053000484),46,MEN,MEN05,,CRDPREV,SEX,SEXF,,,,
2022,2022,SD,South Dakota,BRFSS,Oral Health,Six or more teeth lost among adults aged 65 years and older,,%,Crude Prevalence,19.8,19.8,,,15.5,25,Sex,Male,,,,,POINT (-100.3735306369997 44.353130053000484),46,ORH,ORH02,,CRDPREV,SEX,SEXM,,,,
2022,2022,TN,Tennessee,BRFSS,Arthritis,Arthritis among adults,,%,Crude Prevalence,15.8,15.8,,,10.2,23.8,Race/Ethnicity,Hispanic,,,,,POINT (-85.77449091399967 35.68094058000048),47,ART,ART01,,CRDPREV,RACE,HIS,,,,
2022,2022,TN,Tennessee,BRFSS,Diabetes,Diabetes among adults,,%,Age-adjusted Prevalence,13.1,13.1,,,12.1,14.2,Overall,Overall,,,,,POINT (-85.77449091399967 35.68094058000048),47,DIA,DIA01,,AGEADJPREV,OVERALL,OVR,,,,
